_id,CrashFactId,Name,MinorInjuries,ModerateInjuries,SevereInjuries,FatalInjuries,TcrNumber,CityDamageFlag,ShortFormFlag,Distance,CrashDateTime,PedestrianAction,RoadwaySurface,RoadwayCondition,Lighting,PrimaryCollisionFactor,TrafficControl,Weather,CollisionType,ProximityToIntersection,VehicleInvolvedWith,PedestrianDirectionFrom,PedestrianDirectionTo,DirectionFromIntersection,Comment,SpeedingFlag,HitAndRunFlag,IntersectionNumber,AStreetName,BStreetName,Latitude,Longitude
2122,716309,CR-0000102295,1,0,0,0,24-032-0435,False,False,0.0,2/1/2024 1:11:00 PM,No Pedestrians Involved,Wet,No Unusual Conditions,Daylight,Bike At Fault,Controls Functioning,Cloudy,Vehicle/Bike,Intersection,Bike,Not Applicable,Not Applicable,At,BIKE,False,False,95150,NEEDLES DR,SENTER RD,37.31621307,-121.8565639
2123,723607,CR-0000103999,0,0,0,0,24-113-0333,False,False,400.0,4/22/2024 10:07:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Other,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,West Of,CITY OF SJ VEHICLE,False,False,27169,BURKE ST,SENTER RD,37.31132814,-121.8512189
2124,682252,CR-0000091829,0,0,0,0,22-126-0466,False,False,51.0,5/6/2022 2:47:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Sideswipe,Non-Related,Other Vehicle,Not Applicable,Not Applicable,West Of,,False,True,27169,BURKE ST,SENTER RD,37.31132814,-121.8512189
2125,692494,CR-0000097782,0,0,0,0,23-074-1000,True,False,0.0,3/15/2023 10:38:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Hit Object,Intersection,Fixed Object,Not Applicable,Not Applicable,At,LIGHT POLE,True,False,27169,BURKE ST,SENTER RD,37.31132814,-121.8512189
2126,689904,CR-0000095932,1,0,0,0,22-356-0431,False,False,200.0,12/22/2022 12:50:00 PM,In Road - Includes Shoulder,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Unknown,Clear,Vehicle/Pedestrian,Non-Related,Scooter Non-Motorized,North,South,South Of,SCOOTER (PED),False,True,27169,BURKE ST,SENTER RD,37.31132814,-121.8512189
2127,694617,CR-0000098650,1,1,0,0,23-206-0392,False,False,160.0,7/25/2023 11:36:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Non-Related,Other Vehicle,Not Applicable,Not Applicable,South Of,,False,False,27170,BURKE ST,TENTH ST,37.30874704,-121.854997
2128,681655,CR-0000091052,2,0,0,0,22-031-0569,False,False,0.0,1/31/2022 3:46:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,True,False,27170,BURKE ST,TENTH ST,37.30874704,-121.854997
2129,682329,CR-0000091892,0,0,0,0,22-100-9703,False,True,,4/8/2022 6:30:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Unknown,No Controls Present/Factor,Clear,Broadside,Non-Related,Other Vehicle,Not Applicable,Not Applicable,North Of,,False,False,27170,BURKE ST,TENTH ST,37.30874704,-121.854997
2130,689666,CR-0000095642,1,0,0,0,22-343-0330,True,False,510.0,12/9/2022 12:21:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Cloudy,Broadside,Non-Related,Other Vehicle,Not Applicable,Not Applicable,North Of,tree,False,False,27170,BURKE ST,TENTH ST,37.30874704,-121.854997
2131,688917,CR-0000094775,1,0,0,0,22-280-0573,False,False,0.0,10/7/2022 2:30:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,27170,BURKE ST,TENTH ST,37.30874704,-121.854997
2132,724003,CR-0000104399,1,0,0,0,24-145-0460,False,False,0.0,5/24/2024 1:05:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Sideswipe,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,27170,BURKE ST,TENTH ST,37.30874704,-121.854997
